Customer S.No,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchase
488,18,Other,Smartphone,Electronics,395.78,Los Angeles,XL,Grey,Summer,2.4,Inactive,PayPal,Express,No,None,Yes,Debit Card,Monthly
489,26,Female,Laptop,Clothing,968.41,Houston,M,Black,Winter,3.6,Inactive,Credit Card,Free ship,No,None,No,Apple Pay,Bi-Weekly
490,52,Male,kurta,Bags,912.88,Los Angeles,S,Olive,Summer,2.7,Active,Apple Pay,Standard,No,None,No,Credit Card,Quarterly
491,60,Other,jeans,Footwear,133.95,New York,N/A,Grey,Fall,4.6,Active,Debit Card,Nextday,No,None,Yes,Google Pay,Monthly
492,36,Male,Handbag,Beauty,141.7,Boston,S,Orange,All Seasons,3.8,Inactive,Debit Card,Express,Yes,SPRING15,Yes,Credit Card,Weekly
493,51,Male,Perfume,Footwear,643.26,Miami,N/A,Black,All Seasons,1.4,Inactive,Debit Card,Standard,Yes,SUMMER20,Yes,Credit Card,Weekly
494,59,Female,Smartphone,Bags,497.62,Los Angeles,M,Black,Spring,2.4,Inactive,Debit Card,Free ship,No,None,Yes,Credit Card,Monthly
495,18,Female,Smartphone,Clothing,744.29,Houston,XL,Pink,Spring,4.7,Inactive,Credit Card,Store pickup,Yes,TECH10,No,PayPal,Monthly
496,34,Other,Perfume,Bags,143.05,New York,M,Green,Winter,1.6,Inactive,Credit Card,Nextday,No,None,Yes,PayPal,Yearly
497,18,Male,Smartphone,Beauty,956.61,Boston,N/A,Purple,All Seasons,1.1,Inactive,Google Pay,Nextday,Yes,TECH10,No,Google Pay,Weekly
498,31,Other,Backpack,Accessories,364.33,Las Vegas,XL,Red,Fall,3.2,Active,PayPal,Free ship,Yes,SPRING15,Yes,Apple Pay,Monthly
499,48,Male,sweater,Beauty,61.09,Chicago,M,Red,Winter,1.1,Active,Apple Pay,Standard,Yes,TECH10,No,Apple Pay,Yearly
500,43,Male,Running Shoes,Footwear,27.65,Las Vegas,N/A,Pink,Spring,1.3,Active,Debit Card,Store pickup,Yes,SUMMER20,Yes,Apple Pay,Weekly
501,33,Male,sunglasses,Accessories,533.86,New York,L,Gray,Summer,3.7,Active,Credit Card,Free ship,No,None,No,Debit Card,Quarterly
502,26,Female,Running Shoes,Footwear,571.91,Miami,S,White,All Seasons,2.2,Inactive,Google Pay,Store pickup,Yes,SUMMER20,Yes,PayPal,Yearly
503,18,Female,T-Shirt,Clothing,891.32,Houston,N/A,Olive,All Seasons,3.8,Active,Digital Wallet,Standard,No,None,Yes,Google Pay,Monthly
504,42,Female,T-Shirt,Clothing,250.2,Miami,XL,Olive,Winter,4.8,Inactive,PayPal,Nextday,No,None,No,Google Pay,Quarterly
505,39,Female,Gaming Console,Electronics,329.17,Boston,XL,White,Winter,3.3,Active,PayPal,Express,No,None,Yes,Debit Card,Quarterly
506,60,Female,Backpack,Bags,539.34,San Francisco,S,Green,Fall,1.1,Active,Apple Pay,Express,No,None,Yes,Debit Card,Yearly
507,49,Other,Wristwatch,Clothing,917.69,San Francisco,XL,Gray,Spring,3.8,Active,Debit Card,Nextday,Yes,TECH10,No,PayPal,Quarterly
508,33,Female,T-Shirt,Electronics,36.82,New York,S,Gold,Fall,1.9,Active,Apple Pay,Nextday,Yes,TECH10,No,Apple Pay,Weekly
509,25,Other,T-Shirt,Accessories,723.69,Boston,S,Gold,Spring,3.1,Inactive,Debit Card,Express,Yes,SUMMER20,Yes,Credit Card,Monthly
510,40,Female,sweater,Electronics,54.12,Las Vegas,N/A,Silver,Fall,3.2,Active,Google Pay,Store pickup,Yes,TECH10,No,PayPal,Bi-Weekly
511,55,Female,Smartphone,Accessories,757.11,Denver,N/A,Pink,Winter,1.4,Active,Apple Pay,Store pickup,No,None,Yes,PayPal,Monthly
512,55,Female,Running Shoes,Bags,286.39,Seattle,N/A,Grey,Summer,1.2,Inactive,PayPal,Store pickup,No,None,Yes,Credit Card,Bi-Weekly
513,28,Male,kurta,Beauty,479.72,San Francisco,M,Purple,All Seasons,2.7,Inactive,Apple Pay,Store pickup,No,None,No,Credit Card,Yearly
514,34,Other,Running Shoes,Electronics,233.43,Houston,XL,Silver,Spring,2.5,Inactive,Credit Card,Nextday,No,None,Yes,PayPal,Bi-Weekly
515,31,Other,Gaming Console,Accessories,801.12,San Francisco,L,Silver,Spring,4.7,Inactive,Digital Wallet,Free ship,Yes,SUMMER20,No,Google Pay,Monthly
516,60,Male,Gaming Console,Beauty,950.3,Seattle,S,Olive,All Seasons,1.2,Active,Debit Card,Nextday,Yes,BEAUTY5,Yes,Debit Card,Weekly
517,37,Other,Smartphone,Footwear,24.33,Boston,L,Grey,Fall,3.2,Inactive,Debit Card,Nextday,Yes,TECH10,Yes,Google Pay,Quarterly
518,25,Male,kurta,Clothing,294.05,San Francisco,XL,Yellow,All Seasons,4.2,Inactive,Digital Wallet,Standard,No,None,Yes,Credit Card,Monthly
519,47,Other,kurta,Beauty,745.4,Los Angeles,S,White,Fall,4.9,Active,Digital Wallet,Standard,No,None,No,Debit Card,Monthly
520,46,Other,Smartphone,Electronics,275.99,Seattle,M,Olive,Fall,3.4,Active,Google Pay,Nextday,No,None,No,Apple Pay,Weekly
521,23,Female,Laptop,Electronics,338.8,Chicago,M,Red,Spring,1.4,Inactive,PayPal,Standard,Yes,None,Yes,Google Pay,Weekly
522,49,Female,jeans,Footwear,217.15,Las Vegas,XL,Blue,Summer,4.5,Active,Apple Pay,Free ship,Yes,TECH10,Yes,Apple Pay,Weekly
523,40,Male,Gaming Console,Clothing,945.37,Miami,L,Purple,Winter,3.8,Active,Digital Wallet,Nextday,No,None,No,Google Pay,Quarterly
524,34,Female,Laptop,Bags,660.47,Las Vegas,S,White,Winter,4.9,Inactive,PayPal,Store pickup,Yes,SUMMER20,No,PayPal,Yearly
525,55,Male,Laptop,Electronics,125.39,Miami,XL,Purple,Spring,3.5,Active,Apple Pay,Express,Yes,BEAUTY5,Yes,Google Pay,Weekly
526,22,Other,Running Shoes,Beauty,706.2,Denver,N/A,Green,Spring,1.7,Inactive,Credit Card,Free ship,No,None,Yes,Google Pay,Monthly
527,32,Other,sunglasses,Electronics,49.6,Houston,XL,Green,Spring,1.7,Inactive,PayPal,Free ship,No,None,Yes,Google Pay,Bi-Weekly
528,25,Female,jeans,Clothing,761.76,Las Vegas,S,Gray,Winter,3.9,Inactive,Digital Wallet,Free ship,No,None,Yes,PayPal,Bi-Weekly
529,34,Other,Handbag,Footwear,201.09,Denver,S,Green,Spring,3.0,Active,Apple Pay,Standard,Yes,SPRING15,Yes,Apple Pay,Yearly
530,25,Female,sweater,Clothing,783.63,Denver,XL,Silver,Winter,2.0,Inactive,Apple Pay,Nextday,No,None,Yes,PayPal,Monthly
531,57,Other,kurta,Beauty,233.89,Boston,L,Grey,Summer,3.8,Active,Digital Wallet,Free ship,Yes,TECH10,No,Google Pay,Bi-Weekly
532,42,Other,Gaming Console,Clothing,648.73,San Francisco,L,Red,Summer,5.0,Active,Google Pay,Store pickup,No,None,Yes,PayPal,Quarterly
533,59,Female,Gaming Console,Beauty,163.68,Chicago,XL,Gray,Spring,2.2,Active,Apple Pay,Nextday,Yes,SUMMER20,No,Apple Pay,Quarterly
534,49,Other,Gaming Console,Bags,205.41,Los Angeles,N/A,Gray,Summer,4.1,Active,Google Pay,Standard,No,None,Yes,Apple Pay,Yearly
535,47,Male,Dress,Clothing,815.43,Seattle,L,Grey,Spring,3.0,Inactive,Apple Pay,Express,Yes,TECH10,Yes,PayPal,Bi-Weekly
536,29,Other,Running Shoes,Beauty,193.61,Las Vegas,S,Red,Winter,4.8,Inactive,Google Pay,Standard,No,None,No,PayPal,Monthly
537,21,Other,Handbag,Electronics,752.29,Los Angeles,XL,Orange,All Seasons,1.3,Inactive,PayPal,Nextday,No,None,No,Credit Card,Yearly
538,34,Female,sunglasses,Beauty,943.15,New York,M,Purple,Fall,3.9,Inactive,Digital Wallet,Nextday,Yes,TECH10,No,Debit Card,Bi-Weekly
539,29,Other,Dress,Clothing,746.96,Chicago,N/A,Gold,Winter,1.4,Active,Debit Card,Express,No,None,Yes,Google Pay,Weekly
540,54,Male,Handbag,Clothing,934.1,Denver,L,Blue,Winter,1.8,Active,Google Pay,Standard,No,None,No,Credit Card,Weekly
541,46,Female,Handbag,Accessories,352.39,San Francisco,N/A,Gray,Summer,3.6,Active,Debit Card,Store pickup,Yes,None,No,Apple Pay,Weekly
542,39,Other,Wristwatch,Clothing,413.81,Miami,XL,Purple,All Seasons,4.8,Inactive,Debit Card,Express,No,None,No,PayPal,Bi-Weekly
543,59,Male,sweater,Clothing,68.91,Los Angeles,XL,Blue,Fall,3.7,Inactive,PayPal,Store pickup,Yes,BEAUTY5,No,Apple Pay,Quarterly
544,51,Other,Gaming Console,Clothing,386.92,San Francisco,L,Red,Summer,2.3,Inactive,Debit Card,Free ship,No,None,No,Apple Pay,Weekly
545,26,Male,sweater,Accessories,246.99,New York,XL,Green,Winter,3.9,Active,Apple Pay,Nextday,Yes,None,No,Debit Card,Yearly
546,19,Female,sunglasses,Clothing,191.64,New York,S,Red,All Seasons,1.6,Inactive,Google Pay,Free ship,No,None,Yes,Apple Pay,Monthly
547,57,Other,Running Shoes,Accessories,113.93,New York,M,Silver,All Seasons,3.3,Active,Google Pay,Nextday,No,None,No,Debit Card,Yearly
548,51,Other,Smartphone,Footwear,266.81,Los Angeles,S,Purple,All Seasons,2.6,Active,Apple Pay,Express,Yes,SUMMER20,Yes,Google Pay,Weekly
549,46,Female,Perfume,Electronics,590.79,Houston,S,Gold,All Seasons,1.8,Active,Apple Pay,Standard,Yes,SPRING15,Yes,Debit Card,Bi-Weekly
550,50,Male,Backpack,Beauty,374.63,Los Angeles,M,White,Fall,3.5,Inactive,PayPal,Express,No,None,Yes,Credit Card,Monthly
551,33,Other,Laptop,Clothing,483.88,Boston,S,Pink,Summer,1.8,Inactive,Google Pay,Free ship,No,None,No,PayPal,Bi-Weekly
552,56,Male,Laptop,Clothing,69.41,San Francisco,XL,Black,All Seasons,4.9,Active,PayPal,Express,No,None,Yes,Credit Card,Weekly
553,19,Male,Laptop,Beauty,241.65,Seattle,M,Blue,Fall,2.9,Active,PayPal,Store pickup,No,None,Yes,Google Pay,Weekly
554,25,Male,Perfume,Electronics,702.6,San Francisco,N/A,Gold,Winter,3.2,Inactive,PayPal,Express,No,None,Yes,Debit Card,Yearly
555,34,Male,T-Shirt,Footwear,101.67,Los Angeles,M,Olive,Fall,4.5,Active,Digital Wallet,Nextday,Yes,None,Yes,Apple Pay,Weekly
556,30,Male,Smartphone,Beauty,381.33,Denver,L,Orange,Spring,3.7,Inactive,Apple Pay,Nextday,No,None,No,Google Pay,Yearly
557,29,Male,sunglasses,Electronics,473.52,Denver,XL,Purple,Winter,1.0,Active,Debit Card,Nextday,Yes,SUMMER20,Yes,Apple Pay,Yearly
558,29,Male,Dress,Accessories,535.42,New York,XL,Purple,All Seasons,2.6,Active,Google Pay,Nextday,Yes,None,No,Credit Card,Monthly
559,34,Male,T-Shirt,Clothing,376.52,San Francisco,XL,Gold,All Seasons,2.8,Inactive,Credit Card,Store pickup,Yes,SPRING15,Yes,Credit Card,Monthly
560,44,Male,sunglasses,Bags,51.18,Boston,N/A,Grey,All Seasons,3.5,Active,Digital Wallet,Store pickup,No,None,Yes,Debit Card,Yearly
561,48,Female,sunglasses,Clothing,163.46,Denver,N/A,Green,All Seasons,3.9,Active,Credit Card,Free ship,Yes,BEAUTY5,Yes,Apple Pay,Bi-Weekly
562,30,Other,Perfume,Beauty,401.95,Miami,M,Blue,Summer,4.4,Inactive,Credit Card,Store pickup,No,None,No,Debit Card,Quarterly
563,23,Other,Handbag,Footwear,22.02,Los Angeles,S,Blue,All Seasons,3.0,Active,Debit Card,Nextday,Yes,SPRING15,No,Credit Card,Quarterly
564,34,Female,Laptop,Footwear,270.74,Seattle,L,Red,Fall,1.4,Inactive,Apple Pay,Standard,No,None,Yes,Credit Card,Monthly
565,19,Male,sweater,Footwear,463.16,Las Vegas,M,Purple,Winter,1.1,Active,Credit Card,Standard,Yes,SPRING15,Yes,Google Pay,Weekly
566,26,Other,Backpack,Beauty,431.52,Chicago,L,White,All Seasons,3.9,Inactive,Google Pay,Standard,No,None,No,Debit Card,Bi-Weekly
567,35,Female,sweater,Electronics,425.58,Los Angeles,L,Pink,Spring,4.9,Inactive,PayPal,Express,No,None,No,PayPal,Monthly
568,26,Male,jeans,Footwear,454.9,New York,S,Red,All Seasons,4.8,Inactive,Google Pay,Nextday,Yes,None,No,PayPal,Quarterly
569,25,Female,Wristwatch,Accessories,309.37,Las Vegas,M,Black,Fall,1.6,Active,Google Pay,Standard,No,None,Yes,Credit Card,Yearly
570,25,Male,Wristwatch,Footwear,379.27,Houston,N/A,Purple,Winter,3.5,Inactive,Debit Card,Free ship,Yes,SUMMER20,No,Google Pay,Weekly
571,51,Other,Perfume,Footwear,962.65,Los Angeles,M,White,Summer,3.5,Inactive,Google Pay,Express,Yes,TECH10,No,Debit Card,Weekly
572,58,Female,T-Shirt,Bags,321.93,Las Vegas,S,Pink,Summer,3.8,Active,Debit Card,Nextday,No,None,Yes,PayPal,Bi-Weekly
573,50,Other,Gaming Console,Clothing,567.61,San Francisco,N/A,White,Summer,4.5,Inactive,PayPal,Free ship,Yes,SPRING15,No,Google Pay,Bi-Weekly
574,30,Female,sweater,Footwear,945.03,San Francisco,L,Yellow,All Seasons,2.9,Inactive,Digital Wallet,Express,No,None,No,Google Pay,Bi-Weekly
575,57,Other,Wristwatch,Bags,931.74,Denver,S,Purple,Winter,2.8,Inactive,Apple Pay,Nextday,No,None,No,PayPal,Quarterly
576,57,Male,kurta,Electronics,889.56,Denver,N/A,Pink,Summer,1.2,Inactive,Digital Wallet,Express,Yes,SUMMER20,No,PayPal,Yearly
577,31,Female,Dress,Clothing,339.27,Boston,XL,Blue,Winter,2.8,Active,Google Pay,Express,No,None,Yes,Google Pay,Yearly
578,37,Female,Smartphone,Electronics,865.01,Seattle,N/A,Red,Winter,2.1,Active,Apple Pay,Store pickup,No,None,No,Debit Card,Weekly
579,35,Male,jeans,Electronics,40.38,Boston,M,Gold,Winter,2.2,Active,Google Pay,Standard,Yes,BEAUTY5,No,Debit Card,Bi-Weekly
580,18,Female,Wristwatch,Footwear,692.77,Chicago,M,Yellow,Winter,1.1,Active,Digital Wallet,Store pickup,No,None,No,Debit Card,Yearly
581,51,Male,sweater,Electronics,407.16,Seattle,M,Grey,Spring,2.4,Active,Google Pay,Free ship,No,None,No,Debit Card,Quarterly
582,36,Other,sunglasses,Accessories,429.19,Los Angeles,S,Blue,Summer,1.4,Active,Apple Pay,Express,No,None,Yes,Apple Pay,Weekly
583,39,Male,sweater,Footwear,552.96,Houston,L,Silver,Winter,2.6,Inactive,Debit Card,Standard,Yes,SUMMER20,No,Apple Pay,Weekly
584,28,Male,Running Shoes,Clothing,20.73,San Francisco,XL,Gray,Winter,4.2,Active,Credit Card,Standard,No,None,Yes,Credit Card,Monthly
585,38,Other,sunglasses,Bags,718.7,Los Angeles,XL,Green,Summer,3.1,Inactive,Credit Card,Express,Yes,None,Yes,Debit Card,Weekly
586,60,Male,jeans,Beauty,967.65,Chicago,N/A,White,All Seasons,4.1,Active,Debit Card,Standard,Yes,SUMMER20,Yes,PayPal,Monthly
587,18,Male,Wristwatch,Beauty,351.62,Los Angeles,XL,Gold,Fall,3.8,Active,Google Pay,Store pickup,Yes,BEAUTY5,Yes,PayPal,Yearly
588,59,Other,jeans,Clothing,64.07,Miami,XL,Grey,Spring,4.4,Inactive,Debit Card,Free ship,No,None,Yes,Debit Card,Weekly
589,58,Male,Gaming Console,Beauty,351.06,Denver,S,Grey,Spring,2.4,Active,Apple Pay,Store pickup,Yes,None,No,Debit Card,Bi-Weekly
590,30,Female,Handbag,Footwear,885.95,Boston,M,Red,Winter,3.6,Active,Credit Card,Nextday,Yes,BEAUTY5,Yes,Google Pay,Weekly
591,36,Other,Backpack,Footwear,310.56,Chicago,N/A,Olive,All Seasons,1.2,Inactive,PayPal,Nextday,No,None,No,Debit Card,Bi-Weekly
592,46,Other,Perfume,Clothing,214.13,Seattle,L,White,All Seasons,1.9,Inactive,Apple Pay,Free ship,Yes,BEAUTY5,Yes,Google Pay,Yearly
593,32,Other,Backpack,Clothing,29.54,Houston,N/A,Red,Winter,3.6,Inactive,Debit Card,Standard,No,None,No,Google Pay,Quarterly
594,56,Other,sunglasses,Accessories,183.24,Chicago,XL,Red,Winter,2.1,Active,PayPal,Nextday,No,None,No,Credit Card,Bi-Weekly
595,59,Other,Handbag,Clothing,326.24,Boston,L,White,Spring,3.2,Active,Debit Card,Free ship,No,None,Yes,Debit Card,Bi-Weekly
596,57,Other,T-Shirt,Bags,342.28,Chicago,XL,Orange,Winter,4.5,Active,Digital Wallet,Free ship,No,None,Yes,Debit Card,Monthly
597,39,Male,Gaming Console,Accessories,237.25,Las Vegas,N/A,Black,Summer,3.7,Inactive,Apple Pay,Nextday,No,None,Yes,PayPal,Weekly
598,26,Female,Wristwatch,Bags,441.96,Miami,XL,Purple,Spring,1.9,Active,Apple Pay,Store pickup,Yes,SUMMER20,No,Credit Card,Bi-Weekly
599,30,Female,Laptop,Electronics,610.9,Seattle,M,Black,Winter,4.9,Inactive,Google Pay,Free ship,No,None,Yes,Apple Pay,Bi-Weekly
600,59,Male,kurta,Electronics,933.09,Boston,XL,Orange,Fall,3.2,Active,Credit Card,Store pickup,Yes,BEAUTY5,Yes,PayPal,Monthly
601,35,Female,Wristwatch,Beauty,838.7,San Francisco,XL,Olive,Winter,2.9,Inactive,Credit Card,Free ship,No,None,No,PayPal,Yearly
602,35,Female,T-Shirt,Electronics,655.78,Boston,L,Orange,Spring,3.3,Active,Credit Card,Store pickup,No,None,Yes,Apple Pay,Quarterly
603,43,Female,Handbag,Clothing,58.18,Las Vegas,L,Grey,All Seasons,3.1,Active,Digital Wallet,Store pickup,Yes,SUMMER20,No,PayPal,Monthly
604,38,Other,Laptop,Beauty,177.84,Chicago,S,Gold,All Seasons,3.6,Inactive,Digital Wallet,Express,Yes,SUMMER20,No,Debit Card,Bi-Weekly
605,32,Male,Handbag,Electronics,650.33,Miami,L,White,Spring,1.4,Inactive,Debit Card,Standard,Yes,TECH10,Yes,Google Pay,Quarterly
606,41,Other,Backpack,Bags,430.24,Boston,XL,Blue,Winter,2.6,Inactive,Debit Card,Standard,No,None,No,Debit Card,Bi-Weekly
607,23,Other,Backpack,Clothing,828.54,Miami,L,Gold,All Seasons,2.6,Inactive,Debit Card,Standard,No,None,Yes,Google Pay,Quarterly
608,22,Male,Wristwatch,Accessories,142.75,Miami,N/A,Gray,Fall,2.1,Inactive,Credit Card,Standard,Yes,BEAUTY5,Yes,PayPal,Monthly
609,57,Other,Handbag,Electronics,441.09,Miami,XL,Pink,Winter,1.6,Active,Google Pay,Store pickup,No,None,Yes,Credit Card,Bi-Weekly
610,35,Male,T-Shirt,Footwear,979.19,San Francisco,N/A,White,Summer,4.0,Active,Apple Pay,Free ship,No,None,Yes,Debit Card,Bi-Weekly
611,21,Female,T-Shirt,Beauty,844.1,Denver,S,Black,Summer,4.2,Inactive,Credit Card,Nextday,No,None,Yes,Debit Card,Quarterly
612,53,Male,Perfume,Clothing,337.9,Houston,L,Gray,All Seasons,3.5,Inactive,Digital Wallet,Free ship,Yes,None,Yes,Debit Card,Quarterly
613,55,Female,Wristwatch,Electronics,505.75,Denver,L,Gray,Winter,1.8,Inactive,Digital Wallet,Store pickup,Yes,BEAUTY5,Yes,Google Pay,Weekly
614,22,Female,Dress,Clothing,637.3,Las Vegas,L,Gold,Fall,1.7,Active,Digital Wallet,Nextday,No,None,Yes,Credit Card,Yearly
615,22,Male,sunglasses,Clothing,341.03,San Francisco,S,Grey,All Seasons,3.4,Active,PayPal,Free ship,No,None,No,Google Pay,Yearly
616,25,Female,Smartphone,Electronics,759.31,Seattle,L,Black,Winter,1.6,Inactive,Debit Card,Nextday,No,None,Yes,Debit Card,Monthly
617,55,Other,sweater,Bags,15.23,Seattle,S,Orange,Winter,4.9,Active,Debit Card,Standard,Yes,BEAUTY5,Yes,PayPal,Monthly
618,31,Female,Backpack,Beauty,713.0,Miami,M,Black,Winter,3.6,Inactive,Google Pay,Nextday,Yes,SUMMER20,No,Credit Card,Weekly
619,46,Female,kurta,Bags,147.99,Houston,M,Red,Fall,1.9,Active,PayPal,Free ship,Yes,BEAUTY5,No,Google Pay,Monthly
620,35,Female,sunglasses,Accessories,177.16,Denver,XL,Olive,All Seasons,2.3,Active,Credit Card,Standard,Yes,TECH10,No,Debit Card,Quarterly
621,53,Female,Dress,Clothing,423.51,Boston,L,Olive,Summer,4.7,Inactive,Google Pay,Standard,Yes,TECH10,No,PayPal,Yearly
622,29,Other,Gaming Console,Electronics,774.28,Seattle,M,Gray,Spring,4.5,Inactive,Debit Card,Free ship,No,None,Yes,PayPal,Yearly
623,45,Female,Running Shoes,Accessories,990.19,San Francisco,S,Orange,Spring,2.4,Inactive,Google Pay,Express,No,None,Yes,Google Pay,Bi-Weekly
624,53,Other,Laptop,Footwear,638.22,Miami,N/A,Pink,All Seasons,2.4,Active,Credit Card,Standard,Yes,SUMMER20,No,Google Pay,Weekly
625,53,Male,sunglasses,Accessories,319.48,Houston,XL,Red,Spring,3.6,Inactive,Google Pay,Standard,Yes,BEAUTY5,Yes,PayPal,Weekly
626,24,Other,T-Shirt,Footwear,856.02,Las Vegas,N/A,Gold,All Seasons,2.1,Inactive,Digital Wallet,Nextday,Yes,TECH10,No,Apple Pay,Weekly
627,60,Female,Smartphone,Electronics,83.41,Miami,XL,Red,Fall,4.0,Inactive,Google Pay,Standard,Yes,BEAUTY5,Yes,Apple Pay,Yearly
628,23,Male,sweater,Footwear,111.64,Miami,S,Black,Spring,2.4,Active,Credit Card,Standard,Yes,None,Yes,Debit Card,Monthly
629,26,Female,Wristwatch,Accessories,522.65,Houston,M,Grey,Spring,3.7,Inactive,Credit Card,Nextday,Yes,BEAUTY5,Yes,PayPal,Weekly
630,19,Male,jeans,Beauty,349.73,Chicago,N/A,Orange,Fall,4.2,Inactive,PayPal,Free ship,No,None,No,Credit Card,Bi-Weekly
631,51,Female,Running Shoes,Footwear,812.77,New York,L,Gray,Winter,4.5,Active,Google Pay,Standard,Yes,SUMMER20,Yes,Apple Pay,Yearly
632,30,Female,sweater,Electronics,74.76,Chicago,S,Olive,Spring,3.3,Inactive,PayPal,Standard,No,None,No,Credit Card,Weekly
633,52,Male,sweater,Electronics,551.63,Miami,XL,Black,Fall,4.4,Active,Credit Card,Express,Yes,SUMMER20,No,Debit Card,Quarterly
634,46,Other,T-Shirt,Clothing,836.6,Chicago,N/A,Grey,Summer,1.3,Active,Apple Pay,Standard,No,None,Yes,Google Pay,Weekly
635,39,Other,Wristwatch,Accessories,705.19,Boston,XL,White,Spring,1.9,Inactive,Credit Card,Standard,Yes,BEAUTY5,Yes,Credit Card,Weekly
636,47,Other,Running Shoes,Electronics,333.22,Los Angeles,XL,Purple,Fall,4.7,Inactive,Digital Wallet,Free ship,No,None,No,PayPal,Weekly
637,26,Female,Wristwatch,Bags,320.88,Houston,L,Pink,Fall,1.3,Inactive,Google Pay,Free ship,Yes,TECH10,No,PayPal,Bi-Weekly
638,57,Male,kurta,Accessories,851.99,Denver,S,Purple,Spring,3.2,Inactive,Google Pay,Store pickup,No,None,No,PayPal,Bi-Weekly
639,19,Other,sunglasses,Electronics,898.93,Las Vegas,XL,Pink,Spring,1.3,Inactive,Digital Wallet,Express,Yes,BEAUTY5,No,Credit Card,Bi-Weekly
640,59,Male,Wristwatch,Bags,768.18,Chicago,N/A,Purple,Fall,3.0,Active,Debit Card,Nextday,No,None,Yes,PayPal,Quarterly
641,32,Male,Dress,Accessories,279.39,Los Angeles,L,Orange,Fall,2.2,Active,Credit Card,Express,Yes,SUMMER20,No,PayPal,Bi-Weekly
642,56,Female,sweater,Bags,964.84,San Francisco,M,Orange,Fall,4.0,Active,Digital Wallet,Nextday,Yes,None,No,Google Pay,Quarterly
643,42,Male,Smartphone,Footwear,802.55,Miami,M,Yellow,Spring,3.8,Inactive,Credit Card,Standard,Yes,TECH10,Yes,Google Pay,Quarterly
644,51,Male,Wristwatch,Bags,874.93,Los Angeles,M,Pink,All Seasons,3.5,Active,Debit Card,Free ship,Yes,SPRING15,Yes,Apple Pay,Bi-Weekly
645,39,Other,Smartphone,Clothing,294.59,Las Vegas,M,Pink,Winter,2.6,Active,Credit Card,Free ship,Yes,None,No,Google Pay,Monthly
646,20,Other,sunglasses,Bags,842.2,San Francisco,N/A,Blue,Spring,2.5,Active,Apple Pay,Store pickup,Yes,TECH10,Yes,PayPal,Weekly
647,27,Female,Backpack,Beauty,147.76,Chicago,XL,Pink,Fall,2.2,Inactive,Debit Card,Express,Yes,SPRING15,Yes,Credit Card,Bi-Weekly
648,43,Other,sweater,Accessories,603.2,Las Vegas,N/A,Purple,All Seasons,1.3,Inactive,Apple Pay,Express,Yes,BEAUTY5,Yes,Debit Card,Yearly
649,57,Other,Backpack,Electronics,440.84,Denver,L,White,Summer,2.4,Inactive,Digital Wallet,Standard,No,None,No,Apple Pay,Weekly
650,22,Other,Perfume,Footwear,484.1,Boston,M,Blue,Spring,4.4,Active,Apple Pay,Standard,No,None,No,PayPal,Bi-Weekly
651,49,Female,sweater,Clothing,665.38,Boston,N/A,Green,All Seasons,1.9,Inactive,Digital Wallet,Store pickup,Yes,SUMMER20,Yes,Apple Pay,Monthly
652,47,Male,Dress,Accessories,823.38,Seattle,M,Red,Spring,1.2,Inactive,Digital Wallet,Store pickup,No,None,No,Debit Card,Yearly
653,28,Female,Backpack,Beauty,156.6,New York,S,Blue,Spring,4.9,Active,PayPal,Free ship,Yes,SUMMER20,No,PayPal,Yearly
654,56,Other,Wristwatch,Footwear,12.47,San Francisco,L,Pink,Summer,2.0,Inactive,Apple Pay,Standard,Yes,None,No,Credit Card,Bi-Weekly
655,19,Other,Backpack,Electronics,130.62,Chicago,S,Green,Fall,3.4,Active,PayPal,Free ship,Yes,SUMMER20,No,Credit Card,Monthly
656,47,Male,Laptop,Bags,486.68,Denver,L,Purple,Fall,4.7,Inactive,Google Pay,Standard,No,None,No,Apple Pay,Bi-Weekly
657,49,Female,Dress,Clothing,746.24,Los Angeles,M,Gray,Winter,3.6,Active,Credit Card,Standard,Yes,None,Yes,Debit Card,Yearly
658,42,Other,Wristwatch,Electronics,358.89,Miami,XL,Green,Fall,1.5,Active,Credit Card,Store pickup,Yes,TECH10,Yes,Credit Card,Weekly
659,21,Other,Gaming Console,Clothing,806.01,Chicago,N/A,Blue,Fall,3.6,Active,Google Pay,Nextday,No,None,Yes,Google Pay,Weekly
660,59,Female,kurta,Clothing,162.33,Boston,L,Orange,Winter,4.1,Active,Debit Card,Free ship,Yes,SPRING15,No,PayPal,Monthly
661,45,Female,T-Shirt,Clothing,218.12,San Francisco,M,Gray,Winter,1.1,Inactive,Credit Card,Store pickup,No,None,Yes,Apple Pay,Quarterly
662,52,Female,jeans,Footwear,465.81,Miami,L,White,Winter,4.7,Active,Digital Wallet,Store pickup,Yes,BEAUTY5,Yes,PayPal,Yearly
663,55,Other,Wristwatch,Bags,767.19,Miami,XL,Red,All Seasons,3.1,Active,PayPal,Nextday,No,None,Yes,Credit Card,Quarterly
664,49,Male,sunglasses,Footwear,180.76,New York,XL,Gray,Winter,1.9,Active,Digital Wallet,Nextday,Yes,BEAUTY5,No,Credit Card,Yearly
